,商品名,商品説明,価格,URL,画像URL,出品者
0,MacBook Pro 2020 - スペースグレイ 13インチ A2251,"PCを新調しましたので、出品します。
Apple公式で購入しており、メモリとSSDをカスタマイズしています。

付属品は全て揃っており、未使用になります。


ーー製品情報ーー

ハードウェア：
* 第10世代の2.3GHzクアッドコアIntel Core i7プロセッサ（Turbo Boost使用時最大4.1GHz）
* Intel Iris Plus Graphics
* 16GB 3,733MHz LPDDR4Xメモリ
* 512GB SSDストレージ
* True Tone搭載13インチRetinaディスプレイ
* Thunderbolt 3ポート x 4
* Touch BarとTouch ID
* バックライトMagic Keyboard - 英語（米国）
* アクセサリキット

価格：
208,800円(税抜)
229,680円(税込)

シリーズ···Macbook Pro
ディスプレイサイズ···13インチ
Pro/モデル名···2020
仕上げ···スペースグレイ","69,800",https://jp.mercari.com/item/m58661417731,https://static.mercdn.net/item/detail/orig/photos/m58661417731_1.jpg?1722386230,ななお
1,598)MacBook Pro 13インチ 2020 Core i5-512GB,"598) Apple MacBook Pro 13インチ 2020 Core i5 2.0GHz/RAM16GB/SSD512GB(140598)

多少の擦れ・傷がございます品です。
キーボードは一部にテカリがございます。
初期化済みでOSは最新版のMac OS 14 Sonomaです。
アクティベーションロック解除確認済みです。
動作は快調で、現状特に気になる点はございません。正常に使用できます。
動作確認のため下記の情報で初期化後に一度セットアップしております。
到着後、電源を入れればすぐにお使いいただける状態です。

ユーザー名：USER
パスワード：1234


出品物は本体のみです。ACアダプターは別途ご用意ください。
USB TYPE-C接続です。

バッテリーは「正常」表示で充放電回数 520回で完全充電時の容量は4139mAhです。

＊バッテリーは出品掲載時の情報となります。出荷までにステータスや回数が変更となる可能性がございます。消耗部品につき保証対象外とさせていただいております。
＊液晶表示につきましては経年劣化による若干の色ムラ・照度ムラがある場合がございます。

商品到着後3日間を初期不良期間として対応させて頂きます。
底面に一箇所セキュリティシールを貼っております。剥がした場合は保証対応出来ませんので、動作確認が済むまで剥がさないようにご注意ください。

【商品スペック】
■メーカー：Apple
■商品名：MacBook Pro
■モニター：Retina 13.3 インチ （2560x1600）
■OS：Mac OS 14  Sonoma
■CPU：Core i5 2.0GHz 
■SSD：フラッシュストレージ 512GB
■メモリ：16GB
■グラフィック：Intel Iris Plus Graphics
■キーボード ： 日本語（JIS）配列 （バックライト付き）
■カラー：シルバー

＊ご希望があれば下記のOfficeソフトをインストールして出荷させて頂きます。
LibreOffice（リブレオフィス）

Microsoft Office と互換性のあるオフィスソフトです。
Word/Excel/Powerpoint/Accessファイルを互換使用可能です。","59,000",https://jp.mercari.com/item/m86891758993,https://static.mercdn.net/item/detail/orig/photos/m86891758993_1.jpg?1716522767,mainn_1234
2,MacBook Pro 2020 13インチ 256GB,"ほとんど使用することが無かったので、出品させていただきました。
充電器とケーブルは、傷.汚れ.黄ばみがございます。
中古品です、神経質な方のご購入はご遠慮ください
充放電 回数が2〜3回増える可能性がございますが、あらかじめご了承下さい。","68,000",https://jp.mercari.com/item/m92048914134,https://static.mercdn.net/item/detail/orig/photos/m92048914134_1.jpg?1722173212,YUK
3,MacBook Pro 2020 M1 13インチモデル,"2020年発売モデルのMacBookPro 13インチです
今回上位モデルを購入したので出品致します。

購入が2021年1月に購入しました。
当時の価格が約19万円ほどのモデルです。

作曲作業に使っていたのですが、デスクトップのMacを別で所持しており、殆ど使わずにおりました。

バッテリー残量も93%と
購入時期を考慮するとかなり状態がいいものになります。
※Apple公式ではバッテリー残量が80%を下回るとバッテリー交換目安とされています。

筐体の一部欠けがありますが、そこまで目立ちません。※写真3枚目参照

Apple Silicon M1チップ搭載モデルなので、学生さんのレポート作成や簡単な動画編集・作曲などは問題なくできるスペックです。

初期化済み
Apple正規修理業者及び非正規店業者による修理なども一切行っておりません。

希望の方には、ソフトケース※写真6枚目もセットでお付けします。


仕上げ···スペースグレイ
シリーズ···Macbook Pro
ディスプレイサイズ···13インチ
Pro/モデル名···2020
チップ···M1
付属品　化粧箱　説明書　ソフトケース(希望のみ)","80,000",https://jp.mercari.com/item/m97623712460,https://static.mercdn.net/item/detail/orig/photos/m97623712460_1.jpg?1719522673,j
4,154)MacBook Pro 13インチ 2020 i5-16GB-512GB,"2020年大容量モデル! 154) Apple MacBook Pro 13インチ 2020 Core i5 2.0GHz/RAM16GB/SSD512GB(141154)

多少の擦れ・傷がございます品です。
パームレスト部に一部色褪せがございます。
底面に一部シール跡がございます。
キーボードは一部に若干のテカリがございます程度です。

初期化済みでOSは最新版のMac OS 15 Sequoiaです。
アクティベーションロック解除確認済みです。
動作は快調で、現状特に気になる点はございません。正常に使用できます。

出品物は本体のみです。ACアダプターは別途ご用意ください。
USB TYPE-C接続で充電可能です。

動作確認のため下記の情報で初期化後に一度セットアップしております。

ユーザー名：USER
パスワード：1234

バッテリーは「正常」で充放電回数 274回、完全充電時の容量は4242mAhです。

＊バッテリー情報は撮影時の情報になります。お届けまでにステータスや回数・容量等が変更となる場合がございます。バッテリーにつきましては消耗部品につき保証対象外となりますので予めご了承願います。
＊液晶につきましては経年劣化による多少の色ムラ・照度ムラ等が有る場合がございます。

商品到着後3日間を初期不良期間として対応させて頂きます。
底面に一箇所セキュリティシールを貼っております。剥がした場合は保証対応出来ませんので、動作確認が済むまで剥がさないようにご注意ください。

■商品名：Apple　MacBook Pro
■モニター：Retina 13.3 インチ （2560x1600）
■OS：Mac OS 15 Sequoia
■CPU：Core i5 2.0GHz 
■SSD：フラッシュストレージ 512GB
■メモリ：16GB
■グラフィック：Intel Iris Plus Graphics
■キーボード ： 日本語（JIS）配列 （バックライト付き）

＊ご希望があれば下記のOfficeソフトをインストールし出荷させて頂きます。
LibreOffice（リブレオフィス）

Microsoft Office と互換性のあるオフィスソフトです。
Microsoft Word/Excel/Powerpoint/Accessファイルを互換使用可能です。","58,600",https://jp.mercari.com/item/m73082639178,https://static.mercdn.net/item/detail/orig/photos/m73082639178_1.jpg?1728099416,mainn_1234
5,即発送：Macbook Pro 13インチ 2020A2289覗見防止フィルター,"Macbook Pro 13インチ 2020 A2289
購入場所：Apple公式で購入。
使用回数：週1.2回程度（一年前まで、最近は使用してませんでした）
起動：確認済
付属品：USB充電ケーブル、説明書、箱です。

素人検品のため、中古品であることをご理解の上、神経質な方の購入はお控えください。

メーカー：Apple
商品名：MacBook Pro 2020
CPU：1.4GHzクアッドコア Intel Core i5（Turbo Boost使用時最大3.9GHz）
メモリ：16GB
ストレージ容量：SSD 256GB
ディスプレイサイズ：13インチ
Touch IDセンサーが組み込まれたTouch Bar
カラー：スペースグレイ

本体の左側にThunderbolt3（USB3.1）が2口ついてます。
覗き見防止フィルターつけてます。","61,300",https://jp.mercari.com/item/m14784978828,https://static.mercdn.net/item/detail/orig/photos/m14784978828_1.jpg?1723585770,yuki
6,2020 MacBook Pro 16GB/512,"購入してから使用頻度が低く不要なため出品致します。

使用頻度が低かった為比較的綺麗な状態を保っていると思います。外装の一箇所だけ傷があるのでご確認お願い致します。","75,000",https://jp.mercari.com/item/m76190557015,https://static.mercdn.net/item/detail/orig/photos/m76190557015_1.jpg?1718964017,JJJ
7,MacBook pro 13インチ 2020 上位モデル 管理番号3002,"★☆↓スペック情報↓☆★

色:スペースグレイ
型番:MWP42J/A
CPU:corei5 2.0GHz
メモリ:16GB
SSD:512GB
バッテリー:272回 正常
※バッテリーは消耗品でございますので全商品到着時のバッテリーの保証はありません。
付属品完備しております！

★☆↑スペック情報↑☆★

【外観について】
基本的には動作良好ですが、使用に伴うキズがありますので中古品として格安で販売しております！
動作確認済みですので届いてすぐに使用できます。
写真に写ってるいる物が全てになります。
※購入前にプロフィールをご一読よろしくお願いします。

※2日以内にお支払い可能な方は即買いOKです！

梱包済みですので写真の追加は出来ません。
パスワードは設定していません。
パスワードを求められた場合はなにも入力せずにそのままエンターを押せば使用できます。
word、excel、PowerPointなどは初期状態なので付いておりません。
オフィスソフトは無料でダウンロードできるOpen Officeをおすすめします。
iPad iphoneとの相性も抜群です。
テレワーク、プログラミング、動画編集などいろいろな用途で使用できるパソコンを揃えていますのでノートパソコン、PCの購入を検討してる方いかがでしょうか(^_^)？
他サイトにも出品しているので売れてしまったらいきなり取り消すことがあるのでご了承下さい。
即購入OKですが、入金が遅れる場合は購入後に取り引きメッセージを必ずよろしくお願いします。
管理番号:3002

取扱いモデル(マックブック)↓
              
になります。2008年以前のモデルは取り扱っていません。


在庫一覧は下記からご覧下さいませ。","64,200",https://jp.mercari.com/item/m22062825722,https://static.mercdn.net/item/detail/orig/photos/m22062825722_1.jpg?1719583970,hosiP(プロフ必読)
8,MacBook Pro 13インチ 256GB (2020年),"MacBook Pro 13インチ Corei5:1.4GHz 256GB スペースグレイ MXK32J/A (Mid 2020)

シリーズ名2020年 Corei5
型番MXK32J/A
ディスプレイ（画面）サイズ13インチ
付属ディスプレイ仕様2560×1600
搭載OSmac OS Big Sur
筐体タイプノートブック型
Officeソフト-
CPUCore i5
CPUクロック1.4GHz
標準メモリ容量8GB
内蔵ストレージ容量256G(SSD)
ドライブ-
グラフィックコントローラ 名称Intel Iris Plus Graphics 645
TVチューナ-
有線LAN-
無線LAN／その他IEEE802.11ac無線LAN
外形寸法 幅(mm)304.1mm
外形寸法 奥行き(mm)212.4mm
外形寸法 高さ(mm)105.6mm
重量(Kg)1.4kg

充放電回数：14回（9月時点）
付属品：電源アダプタ（61w)、ケーブルのみ","65,000",https://jp.mercari.com/item/m15175014102,https://static.mercdn.net/item/detail/orig/photos/m15175014102_1.jpg?1727946519,やまだ0510
9,【極美品】MacBook Pro 2020 13インチ i5,"【極美品】MacBook Pro 2020 13インチ i5　
・動作確認済みです。
・付属品は全て揃っています。
・本体には傷も少なく非常に綺麗です。　
・i5
メモリー　16GB
ストレージ 512GB


シリーズ...Macbook Pro

ディスプレイサイズ...13インチ

Pro/モデル名...2020

仕上げ...シルバー","70,000",https://jp.mercari.com/item/m11991440263,https://static.mercdn.net/item/detail/orig/photos/m11991440263_1.jpg?1723627864,Kyuukancyou0074
